Colony_ID,Ind_ant,Site,Date,CCRT_min,Treatment,Collection_date,Worker_count
4717,A,R1,20220328,0.5,Rural,Early,52
4717,B,R1,20220328,1.2,Rural,Early,52
4717,C,R1,20220328,3.1833,Rural,Early,52
4717,D,R1,20220328,4.933,Rural,Early,52
4717,E,R1,20220328,6.0833,Rural,Early,52
4717,F,R1,20220328,8.7167,Rural,Early,52
4717,G,R1,20220328,9.95,Rural,Early,52
4717,H,R1,20220328,13.033,Rural,Early,52
4717,I,R1,20220328,15.1,Rural,Early,52
4717,J,R1,20220328,16.1833,Rural,Early,52
4717,K,R1,20220328,16.5167,Rural,Early,52
4717,L,R1,20220328,18.333,Rural,Early,52
4717,M,R1,20220328,18.4833,Rural,Early,52
4717,N,R1,20220328,19.333,Rural,Early,52
4717,O,R1,20220328,19.95,Rural,Early,52
5371,A,R1,20220328,0.3167,Rural,Early,10
5371,B,R1,20220328,0.933,Rural,Early,10
5371,C,R1,20220328,4.633,Rural,Early,10
5371,D,R1,20220328,5.2167,Rural,Early,10
5371,E,R1,20220328,9.8,Rural,Early,10
5371,F,R1,20220328,20.6167,Rural,Early,10
2318,A,U1,20220328,0.4167,Urban,Early,30
2318,B,U1,20220328,1.833,Urban,Early,30
2318,C,U1,20220328,7.3833,Urban,Early,30
2318,D,U1,20220328,30.5,Urban,Early,30
2318,E,U1,20220328,38.45,Urban,Early,30
7622,A,R1,20220329,0.0833,Rural,Early,51
7622,B,R1,20220329,0.1833,Rural,Early,51
7622,C,R1,20220329,0.9,Rural,Early,51
7622,D,R1,20220329,1.3,Rural,Early,51
7622,E,R1,20220329,2.7,Rural,Early,51
7622,F,R1,20220329,3.6833,Rural,Early,51
7622,G,R1,20220329,4.433,Rural,Early,51
7622,H,R1,20220329,8.233,Rural,Early,51
7622,I,R1,20220329,10.833,Rural,Early,51
7622,J,R1,20220329,11.767,Rural,Early,51
7622,K,R1,20220329,18.034,Rural,Early,51
7622,L,R1,20220329,22.734,Rural,Early,51
7622,M,R1,20220329,23.934,Rural,Early,51
7622,N,R1,20220329,25.917,Rural,Early,51
7622,O,R1,20220329,26.25,Rural,Early,51
6951,A,U2,20220329,0.967,Urban,Early,14
6143,A,R1,20220329,4,Rural,Early,36
6143,B,R1,20220329,6.25,Rural,Early,36
6143,C,R1,20220329,10.033,Rural,Early,36
6143,D,R1,20220329,12.33,Rural,Early,36
6143,E,R1,20220329,13.6,Rural,Early,36
6143,F,R1,20220329,17.48,Rural,Early,36
6143,G,R1,20220329,18.833,Rural,Early,36
6143,H,R1,20220329,27.3167,Rural,Early,36
6143,I,R1,20220329,29.85,Rural,Early,36
6143,J,R1,20220329,30.8,Rural,Early,36
6143,K,R1,20220329,31.35,Rural,Early,36
6143,L,R1,20220329,32.3167,Rural,Early,36
6143,M,R1,20220329,33.033,Rural,Early,36
6143,N,R1,20220329,36.2833,Rural,Early,36
6143,O,R1,20220329,36.733,Rural,Early,36
8308,A,R1,20220331,0.45,Rural,Early,30
8308,B,R1,20220331,3.5,Rural,Early,30
8308,C,R1,20220331,4.8,Rural,Early,30
8308,D,R1,20220331,5.67,Rural,Early,30
8308,E,R1,20220331,6.283,Rural,Early,30
8308,F,R1,20220331,10.283,Rural,Early,30
8308,G,R1,20220331,12.3833,Rural,Early,30
8308,H,R1,20220331,17.35,Rural,Early,30
8308,I,R1,20220331,18.067,Rural,Early,30
8308,J,R1,20220331,19.417,Rural,Early,30
8308,K,R1,20220331,23.167,Rural,Early,30
8308,L,R1,20220331,24.117,Rural,Early,30
8308,M,R1,20220331,25.2,Rural,Early,30
8308,N,R1,20220331,30.017,Rural,Early,30
8308,O,R1,20220331,31.684,Rural,Early,30
7111,A,R1,20220331,0.083,Rural,Early,54
7111,B,R1,20220331,0.183,Rural,Early,54
7111,C,R1,20220331,0.317,Rural,Early,54
7111,D,R1,20220331,0.5,Rural,Early,54
7111,E,R1,20220331,0.533,Rural,Early,54
7111,F,R1,20220331,0.75,Rural,Early,54
7111,G,R1,20220331,0.883,Rural,Early,54
7111,H,R1,20220331,1.033,Rural,Early,54
7111,I,R1,20220331,1.183,Rural,Early,54
7111,J,R1,20220331,2.417,Rural,Early,54
7111,K,R1,20220331,2.45,Rural,Early,54
7111,L,R1,20220331,2.95,Rural,Early,54
7111,M,R1,20220331,3.717,Rural,Early,54
7111,N,R1,20220331,4.733,Rural,Early,54
7111,O,R1,20220331,4.817,Rural,Early,54
3351,A,U2,20220401,0.383,Urban,Early,19
3351,B,U2,20220401,0.917,Urban,Early,19
3351,C,U2,20220401,1.567,Urban,Early,19
3351,D,U2,20220401,23.75,Urban,Early,19
3351,E,U2,20220401,24.9,Urban,Early,19
3351,F,U2,20220401,27.467,Urban,Early,19
3351,G,U2,20220401,29.983,Urban,Early,19
3351,H,U2,20220401,30.167,Urban,Early,19
3351,I,U2,20220401,38.5,Urban,Early,19
3351,J,U2,20220401,46.3,Urban,Early,19
4523,A,R1,20220401,0.233,Rural,Early,54
4523,B,R1,20220401,0.25,Rural,Early,54
4523,C,R1,20220401,0.333,Rural,Early,54
4523,D,R1,20220401,0.433,Rural,Early,54
4523,E,R1,20220401,1.133,Rural,Early,54
4523,F,R1,20220401,1.4,Rural,Early,54
4523,G,R1,20220401,2.1833,Rural,Early,54
4523,H,R1,20220401,4.267,Rural,Early,54
4523,I,R1,20220401,4.5,Rural,Early,54
4523,J,R1,20220401,6.85,Rural,Early,54
4523,K,R1,20220401,7.5833,Rural,Early,54
4523,L,R1,20220401,8.55,Rural,Early,54
4523,M,R1,20220401,9.9,Rural,Early,54
4523,N,R1,20220401,11.2167,Rural,Early,54
4523,O,R1,20220401,22.9167,Rural,Early,54
3630,A,U2,20220401,0.25,Urban,Early,121
3630,B,U2,20220401,0.95,Urban,Early,121
3630,C,U2,20220401,2.033,Urban,Early,121
3630,D,U2,20220401,2.015,Urban,Early,121
3630,E,U2,20220401,2.2167,Urban,Early,121
3630,F,U2,20220401,2.633,Urban,Early,121
3630,G,U2,20220401,3.7167,Urban,Early,121
3630,H,U2,20220401,4.7167,Urban,Early,121
3630,I,U2,20220401,6.33,Urban,Early,121
3630,J,U2,20220401,7.65,Urban,Early,121
3630,K,U2,20220401,10.1,Urban,Early,121
3630,L,U2,20220401,10.733,Urban,Early,121
3630,M,U2,20220401,10.867,Urban,Early,121
3630,N,U2,20220401,11.3833,Urban,Early,121
3630,O,U2,20220401,14.8,Urban,Early,121
3456,A,R1,20220404,1.15,Rural,Early,46
3456,B,R1,20220404,1.467,Rural,Early,46
3456,C,R1,20220404,4.4167,Rural,Early,46
3456,D,R1,20220404,18.233,Rural,Early,46
3456,E,R1,20220404,18.283,Rural,Early,46
3456,F,R1,20220404,18.35,Rural,Early,46
3456,G,R1,20220404,19.05,Rural,Early,46
3456,H,R1,20220404,19.233,Rural,Early,46
3456,I,R1,20220404,20.05,Rural,Early,46
3456,J,R1,20220404,20.15,Rural,Early,46
3456,K,R1,20220404,20.833,Rural,Early,46
3456,L,R1,20220404,21.15,Rural,Early,46
3456,M,R1,20220404,21.16,Rural,Early,46
3456,N,R1,20220404,21.433,Rural,Early,46
3456,O,R1,20220404,22.2167,Rural,Early,46
8317,A,U2,20220404,1.6167,Urban,Early,106
8317,B,U2,20220404,2.183,Urban,Early,106
8317,C,U2,20220404,4.5667,Urban,Early,106
8317,D,U2,20220404,5.0833,Urban,Early,106
8317,E,U2,20220404,6.933,Urban,Early,106
8317,F,U2,20220404,8.067,Urban,Early,106
8317,G,U2,20220404,8.133,Urban,Early,106
8317,H,U2,20220404,8.3167,Urban,Early,106
8317,I,U2,20220404,9.85,Urban,Early,106
8317,J,U2,20220404,11.967,Urban,Early,106
8317,K,U2,20220404,12.5,Urban,Early,106
8317,L,U2,20220404,13.35,Urban,Early,106
8317,M,U2,20220404,14.0167,Urban,Early,106
8317,N,U2,20220404,14.133,Urban,Early,106
8317,O,U2,20220404,14.683,Urban,Early,106
9186,A,U1,20220405,7.167,Urban,Early,26
9186,B,U1,20220405,10.33,Urban,Early,26
9186,C,U1,20220405,10.75,Urban,Early,26
9186,D,U1,20220405,15.067,Urban,Early,26
9186,E,U1,20220405,15.883,Urban,Early,26
9186,F,U1,20220405,15.95,Urban,Early,26
9186,G,U1,20220405,16.167,Urban,Early,26
9186,H,U1,20220405,16.367,Urban,Early,26
9186,I,U1,20220405,17.133,Urban,Early,26
9186,J,U1,20220405,17.567,Urban,Early,26
9186,K,U1,20220405,20.0833,Urban,Early,26
9186,L,U1,20220405,21.333,Urban,Early,26
9186,M,U1,20220405,23.867,Urban,Early,26
9186,N,U1,20220405,25.383,Urban,Early,26
9186,O,U1,20220405,26.483,Urban,Early,26
6843,A,U1,20220405,0.217,Urban,Early,87
6843,B,U1,20220405,1.917,Urban,Early,87
6843,C,U1,20220405,2.7833,Urban,Early,87
6843,D,U1,20220405,3.767,Urban,Early,87
6843,E,U1,20220405,3.383,Urban,Early,87
6843,F,U1,20220405,3.8833,Urban,Early,87
6843,G,U1,20220405,4.0167,Urban,Early,87
6843,H,U1,20220405,4.133,Urban,Early,87
6843,I,U1,20220405,4.1833,Urban,Early,87
6843,J,U1,20220405,4.533,Urban,Early,87
6843,K,U1,20220405,4.95,Urban,Early,87
6843,L,U1,20220405,5.3167,Urban,Early,87
6843,M,U1,20220405,5.4167,Urban,Early,87
6843,N,U1,20220405,5.7,Urban,Early,87
6843,O,U1,20220405,5.7167,Urban,Early,87
5619,A,U1,20220405,22.77,Urban,Early,5
5619,B,U1,20220405,26.817,Urban,Early,5
5292,A,U2,20220411,0.07,Urban,Mid,86
5292,B,U2,20220411,0.133,Urban,Mid,86
5292,C,U2,20220411,0.183,Urban,Mid,86
5292,D,U2,20220411,0.267,Urban,Mid,86
5292,E,U2,20220411,0.25,Urban,Mid,86
