Sec,MeanMR,MeanMR_RA,Cor_SumMR,ChamberIndex,ExpeDataFile,DataLength,StartIndex,Source.pop,Colony_mass,Colony_ID,Test.Temp,Q10,Collection_date
1,0.000303119,0.00031099,0,8,OvW_antMR_group1a_0315.exp,700,167,Rural,NA,NA,4,NA,Early
2,0.000191992,0.00019144,0,1,OvW_antMR_group1a_0315.exp,900,501,Rural,0.0229,4717,4,1.657083839,Early
3,0.000252968,NA,0,2,OvW_antMR_group1a_0315.exp,600,301,Rural,NA,NA,4,1.181171135,Early
4,0.000191512,0.000192176,0,3,OvW_antMR_group1a_0315.exp,600,284,Rural,0.0027,5371,4,1.551823423,Early
5,0.000198085,0.000200712,0,4,OvW_antMR_group1a_0315.exp,600,236,Urban,0.0051,2318,4,1.209529361,Early
6,0.000222322,0.000224898,0,5,OvW_antMR_group1a_0315.exp,600,248,Rural,0.0158,7622,4,1.259666856,Early
7,0.000201161,0.000203901,0,6,OvW_antMR_group1a_0315.exp,600,243,Urban,0.0018,6951,4,1.096740676,Early
8,0.000191276,0.000191205,0,7,OvW_antMR_group1a_0315.exp,600,289,Rural,0.0016,9761,4,1.427948774,Early
9,0.000202705,0.000208501,0,8,OvW_antMR_group1a_0321_warm.exp,700,169,Rural,NA,NA,10,NA,Early
10,0.00025995,0.000277154,0.000057245,1,OvW_antMR_group1a_0321_warm.exp,600,61,Rural,0.0229,4717,10,NA,Early
11,0.000279546,0.000295493,0.000076841,2,OvW_antMR_group1a_0321_warm.exp,600,139,Rural,NA,NA,10,NA,Early
12,0.000249288,0.000250801,0.000046583,3,OvW_antMR_group1a_0321_warm.exp,600,269,Rural,0.0027,5371,10,NA,Early
13,0.000222035,0.000230316,0.00001933,4,OvW_antMR_group1a_0321_warm.exp,600,199,Urban,0.0051,2318,10,NA,Early
14,0.00025535,0.000271512,0.000052645,5,OvW_antMR_group1a_0321_warm.exp,600,111,Rural,0.0158,7622,10,NA,Early
15,0.000212621,0.000213623,0.000009916,6,OvW_antMR_group1a_0321_warm.exp,600,255,Urban,0.0018,6951,10,NA,Early
16,0.000236858,0.000237471,0.000034153,7,OvW_antMR_group1a_0321_warm.exp,600,229,Rural,0.0016,9761,10,NA,Early
17,0.000200712,0.000212764,NA,8,OvW_antMR_group1b_0317.exp,700,137,Urban,NA,NA,4,NA,Early
18,0.000227903,0.000226482,0.000027191,1,OvW_antMR_group1b_0317.exp,900,375,Rural,0.0133,6143,4,1.36763777,Early
19,0.000200712,0.000195233,0,2,OvW_antMR_group1b_0317.exp,600,272,Urban,0.0012,1214,4,1.690177278,Early
20,0.000200712,0.000191154,0,3,OvW_antMR_group1b_0317.exp,600,208,Rural,0.00893,8308,4,1.104105165,Early
