Colony_ID,Ind_ant,Site,Date,CTmax_C,Treatment,Collection_date,Worker_count,Winter_days
4717,A,R1,20220408,41.5,Rural,Early,52,47
4717,B,R1,20220408,47.5,Rural,Early,52,47
4717,C,R1,20220408,45,Rural,Early,52,47
4717,D,R1,20220408,38.5,Rural,Early,52,47
4717,E,R1,20220408,44.5,Rural,Early,52,47
4717,F,R1,20220408,47.5,Rural,Early,52,47
4717,G,R1,20220408,39.5,Rural,Early,52,47
4717,H,R1,20220408,40.5,Rural,Early,52,47
4717,I,R1,20220408,42,Rural,Early,52,47
4717,J,R1,20220408,40,Rural,Early,52,47
2318,A,U1,20220409,38.5,Urban,Early,30,47
2318,B,U1,20220409,44,Urban,Early,30,47
7622,A,R1,20220409,41.5,Rural,Early,51,47
7622,B,R1,20220409,41,Rural,Early,51,47
7622,C,R1,20220409,42.5,Rural,Early,51,47
7622,D,R1,20220409,44,Rural,Early,51,47
7622,E,R1,20220409,41,Rural,Early,51,47
7622,F,R1,20220409,46.5,Rural,Early,51,47
7622,G,R1,20220409,44,Rural,Early,51,47
7622,H,R1,20220409,40,Rural,Early,51,47
7622,I,R1,20220409,41,Rural,Early,51,47
6143,A,R1,20220413,46,Rural,Early,36,47
6143,B,R1,20220413,45.5,Rural,Early,36,47
6143,C,R1,20220413,42,Rural,Early,36,47
6143,D,R1,20220413,47.5,Rural,Early,36,47
6143,E,R1,20220413,40,Rural,Early,36,47
6143,F,R1,20220413,41.5,Rural,Early,36,47
6143,G,R1,20220413,44,Rural,Early,36,47
8308,A,R1,20220413,40.5,Rural,Early,30,47
8308,B,R1,20220413,44,Rural,Early,30,47
8308,C,R1,20220413,46,Rural,Early,30,47
8308,D,R1,20220413,47,Rural,Early,30,47
8308,E,R1,20220413,47.5,Rural,Early,30,47
8308,F,R1,20220413,47.5,Rural,Early,30,47
8308,G,R1,20220413,42,Rural,Early,30,47
8308,H,R1,20220413,45.5,Rural,Early,30,47
8308,I,R1,20220413,45.5,Rural,Early,30,47
8308,J,R1,20220413,43.5,Rural,Early,30,47
7111,A,R1,20220413,47.5,Rural,Early,54,47
7111,B,R1,20220413,41,Rural,Early,54,47
7111,C,R1,20220413,46.5,Rural,Early,54,47
7111,D,R1,20220413,43,Rural,Early,54,47
7111,E,R1,20220413,47,Rural,Early,54,47
7111,F,R1,20220413,47,Rural,Early,54,47
7111,G,R1,20220413,47,Rural,Early,54,47
7111,H,R1,20220413,45.5,Rural,Early,54,47
7111,I,R1,20220413,43,Rural,Early,54,47
7111,J,R1,20220413,47.5,Rural,Early,54,47
3351,A,U2,20220415,47.5,Urban,Early,19,47
3351,B,U2,20220415,46,Urban,Early,19,47
3351,C,U2,20220415,47.5,Urban,Early,19,47
3351,D,U2,20220415,46.5,Urban,Early,19,47
3351,E,U2,20220415,48.5,Urban,Early,19,47
3351,F,U2,20220415,46.5,Urban,Early,19,47
3351,G,U2,20220415,46.5,Urban,Early,19,47
3351,H,U2,20220415,46.5,Urban,Early,19,47
3351,I,U2,20220415,46,Urban,Early,19,47
3351,J,U2,20220415,48.5,Urban,Early,19,47
4523,A,R1,20220415,48,Rural,Early,54,47
4523,B,R1,20220415,47,Rural,Early,54,47
4523,C,R1,20220415,45.5,Rural,Early,54,47
4523,D,R1,20220415,43,Rural,Early,54,47
4523,E,R1,20220415,43,Rural,Early,54,47
4523,F,R1,20220415,44.5,Rural,Early,54,47
4523,G,R1,20220415,46.5,Rural,Early,54,47
4523,H,R1,20220415,48,Rural,Early,54,47
4523,I,R1,20220415,46.5,Rural,Early,54,47
4523,J,R1,20220415,43,Rural,Early,54,47
3630,A,U2,20220415,45.5,Urban,Early,121,47
3630,B,U2,20220415,47.5,Urban,Early,121,47
3630,C,U2,20220415,48,Urban,Early,121,47
3630,D,U2,20220415,40.5,Urban,Early,121,47
3630,E,U2,20220415,45.5,Urban,Early,121,47
3630,F,U2,20220415,47.5,Urban,Early,121,47
3630,G,U2,20220415,48,Urban,Early,121,47
3630,H,U2,20220415,47.5,Urban,Early,121,47
3630,I,U2,20220415,44.5,Urban,Early,121,47
3630,J,U2,20220415,48.5,Urban,Early,121,47
3456,A,R1,20220420,46.5,Rural,Early,46,47
3456,B,R1,20220420,44.5,Rural,Early,46,47
3456,C,R1,20220420,44.5,Rural,Early,46,47
3456,D,R1,20220420,46,Rural,Early,46,47
3456,E,R1,20220420,44.5,Rural,Early,46,47
3456,F,R1,20220420,39,Rural,Early,46,47
3456,G,R1,20220420,43,Rural,Early,46,47
3456,H,R1,20220420,38.5,Rural,Early,46,47
3456,I,R1,20220420,47,Rural,Early,46,47
3456,J,R1,20220420,46,Rural,Early,46,47
8317,A,U2,20220420,45.5,Urban,Early,106,47
