ColonyID,Source.pop,Worker.start,Worker.end,Brood_count,Collection_date
8308,Rural,30,11,18,Early
4717,Rural,52,13,29,Early
7111,Rural,54,15,28,Early
3456,Rural,46,12,7,Early
9761,Rural,4,0,0,Early
4523,Rural,54,11,20,Early
7622,Rural,51,9,2,Early
6143,Rural,36,7,19,Early
5371,Rural,10,0,1,Early
3351,Urban,19,10,4,Early
6951,Urban,14,0,0,Early
8317,Urban,106,37,19,Early
3630,Urban,121,38,25,Early
5292,Urban,86,19,21,Early
6116,Urban,40,10,10,Early
2318,Urban,30,2,1,Early
1214,Urban,16,0,2,Early
9186,Urban,26,7,3,Early
6843,Urban,87,23,64,Early
5619,Urban,1,0,0,Early
9199,Urban,90,17,33,Mid
9212,Urban,25,6,2,Mid
1579,Urban,101,17,11,Mid
9335,Urban,90,15,30,Mid
2231,Urban,106,23,9,Mid
8293,Urban,97,20,15,Mid
6187,Urban,96,21,48,Mid
5260,Urban,13,0,1,Mid
5716,Urban,71,8,6,Mid
8462,Urban,42,10,20,Mid
3538,Rural,24,5,4,Mid
1301,Rural,64,10,21,Mid
7545,Rural,75,18,9,Late
9753,Rural,16,10,2,Late
6481,Rural,96,29,16,Late
2158,Rural,74,21,34,Late
8732,Rural,68,12,5,Late
2504,Rural,65,15,15,Late
3478,Rural,21,8,5,Late
2906,Rural,91,19,26,Late
1121,Rural,62,24,19,Late
6892,Rural,38,18,4,Late
2702,Urban,115,30,14,Late
3488,Urban,30,10,0,Late
3309,Rural,21,14,1,Late
7783,Rural,3,2,1,Late
5980,Rural,31,10,7,Late
